日期,股票代號,股票名稱,5星分數,最新股價,漲跌幅%,建議操作,防守價位,歷史核心結論與評語
2026-09-04,5434,崇越,3,538.0,+2.09%,偏多觀察,MA20: 527.45,KDJ: 63.6/54.2，量比: 0.93
2026-09-04,2633,台灣高鐵,3,26.1,-0.38%,偏多觀察,MA20: 26.07,KDJ: 51.5/60.7，量比: 1.18
2026-09-04,9933,中鼎,3,40.4,-0.98%,偏多觀察,MA20: 41.27,KDJ: 25.4/31.3，量比: 1.06
2026-09-04,3163,波若威,3,775.0,+7.64%,偏多觀察,MA20: 738.3,KDJ: 55.2/57.7，量比: 0.61
2026-09-04,2330,台積電,2,2410.0,+0.84%,拉回觀望,MA20: 2399.25,KDJ: 58.4/61.1，量比: 0.59
2026-09-04,2317,鴻海,2,256.0,+3.43%,拉回觀望,MA20: 252.93,KDJ: 74.6/63.8，量比: 1.54
2026-09-04,2308,台達電,2,1825.0,+3.69%,拉回觀望,MA20: 1798.0,KDJ: 63.1/57.1，量比: 0.81
2026-09-04,2412,中華電,2,137.5,-0.36%,拉回觀望,MA20: 136.32,KDJ: 70.3/60.2，量比: 0.64
2026-09-04,2324,仁寶,2,41.6,+7.35%,拉回觀望,MA20: 39.86,KDJ: 47.0/40.6，量比: 2.36
2026-09-04,2609,陽明,2,58.2,+0.69%,拉回觀望,MA20: 57.15,KDJ: 22.9/31.5，量比: 0.36
2026-09-04,2605,新興,2,35.85,+0.99%,拉回觀望,MA20: 34.81,KDJ: 26.5/30.5，量比: 0.95
2026-09-04,2379,瑞昱,2,713.0,+0.85%,拉回觀望,MA20: 730.75,KDJ: 31.4/45.4，量比: 0.56
2026-09-04,2376,技嘉,2,361.0,+3.00%,拉回觀望,MA20: 356.43,KDJ: 69.1/62.2，量比: 1.3
2026-09-04,2301,光寶科,2,308.0,+3.01%,拉回觀望,MA20: 285.52,KDJ: 67.8/73.9，量比: 0.76
2026-09-04,3037,欣興,2,902.0,-2.28%,拉回觀望,MA20: 1050.6,KDJ: 16.4/29.1，量比: 1.08
2026-09-04,2887,台新金,2,41.5,+0.12%,拉回觀望,MA20: 37.68,KDJ: 84.9/83.2，量比: 0.5
2026-09-04,2890,永豐金,2,42.85,+0.59%,拉回觀望,MA20: 40.13,KDJ: 84.5/72.5，量比: 0.57
2026-09-04,5876,上海商銀,2,46.3,+0.76%,拉回觀望,MA20: 43.61,KDJ: 88.4/76.1，量比: 0.57
2026-09-04,1101,台泥,2,24.6,+0.61%,拉回觀望,MA20: 24.48,KDJ: 30.7/34.5，量比: 0.13
2026-09-04,9910,豐泰,2,68.9,+1.77%,拉回觀望,MA20: 69.34,KDJ: 19.7/18.4，量比: 0.9
2026-09-04,9945,潤泰新,2,28.45,+0.71%,拉回觀望,MA20: 28.57,KDJ: 35.9/29.7，量比: 0.73
2026-09-04,2409,友達,2,26.8,+0.94%,拉回觀望,MA20: 26.12,KDJ: 55.8/54.8，量比: 0.83
2026-09-04,6176,瑞儀,2,91.9,+1.77%,拉回觀望,MA20: 89.2,KDJ: 24.1/35.1，量比: 0.57
2026-09-04,3017,奇鋐,2,3570.0,+8.18%,拉回觀望,MA20: 3133.75,KDJ: 85.3/79.3，量比: 1.18
2026-09-04,1503,士電,2,207.5,+3.23%,拉回觀望,MA20: 201.85,KDJ: 51.5/52.2，量比: 0.49
2026-09-04,1513,中興電,2,165.5,+1.85%,拉回觀望,MA20: 165.88,KDJ: 27.2/32.3，量比: 0.54
2026-09-04,2371,大同,2,28.15,+1.99%,拉回觀望,MA20: 27.46,KDJ: 40.6/51.8，量比: 0.73
2026-09-04,6213,聯茂,2,517.0,+0.98%,拉回觀望,MA20: 508.6,KDJ: 44.2/57.7，量比: 0.81
2026-09-04,3023,信邦,2,340.0,+4.62%,拉回觀望,MA20: 318.35,KDJ: 72.7/64.5，量比: 1.33
2026-09-04,3443,創意,2,5810.0,+0.17%,拉回觀望,MA20: 5606.25,KDJ: 54.1/60.7，量比: 0.9
2026-09-04,5269,祥碩,2,1430.0,-0.69%,拉回觀望,MA20: 1427.0,KDJ: 55.4/62.4，量比: 0.61
2026-09-04,2474,可成,2,209.5,+1.45%,拉回觀望,MA20: 205.88,KDJ: 63.5/72.2，量比: 0.59
2026-09-04,2637,慧洋-KY,2,99.8,+0.00%,拉回觀望,MA20: 92.73,KDJ: 49.7/44.6，量比: 1.27
2026-09-04,2707,晶華,2,179.0,+0.28%,拉回觀望,MA20: 179.32,KDJ: 40.6/38.8，量比: 0.66
2026-09-04,2312,金寶,2,32.85,+3.30%,拉回觀望,MA20: 32.36,KDJ: 60.5/55.3，量比: 0.93
2026-09-04,1476,儒鴻,2,313.0,-0.16%,拉回觀望,MA20: 317.75,KDJ: 49.1/48.4，量比: 1.05
2026-09-04,2454,聯發科,1,4415.0,+1.73%,拉回觀望,MA20: 4013.25,KDJ: 75.8/66.8，量比: 0.9
2026-09-04,2881,富邦金,1,150.5,+2.38%,拉回觀望,MA20: 135.72,KDJ: 93.1/90.9，量比: 0.93
2026-09-04,2882,國泰金,1,115.0,+2.22%,拉回觀望,MA20: 103.28,KDJ: 87.7/79.7，量比: 0.52
2026-09-04,5880,合庫金,1,26.65,-0.19%,拉回觀望,MA20: 25.16,KDJ: 91.0/87.5，量比: 0.77
2026-09-04,2357,華碩,1,1025.0,+5.56%,拉回觀望,MA20: 940.8,KDJ: 81.4/76.6，量比: 1.3
2026-09-04,1216,統一,1,75.6,+0.00%,拉回觀望,MA20: 76.52,KDJ: 27.3/39.9，量比: 0.66
2026-09-04,2892,第一金,1,37.3,+1.22%,拉回觀望,MA20: 34.25,KDJ: 92.9/83.6，量比: 0.56
2026-09-04,2880,華南金,1,44.0,+1.27%,拉回觀望,MA20: 40.86,KDJ: 91.4/79.7，量比: 0.45
2026-09-04,2615,萬海,1,115.0,-0.43%,拉回觀望,MA20: 107.55,KDJ: 29.8/39.8，量比: 0.81
2026-09-04,2408,南亞科,1,496.0,+3.87%,拉回觀望,MA20: 511.3,KDJ: 32.2/44.0，量比: 0.71
2026-09-04,2344,華邦電,1,174.0,+2.96%,拉回觀望,MA20: 178.2,KDJ: 33.7/43.2，量比: 0.54
2026-09-04,2481,強茂,1,156.0,+0.00%,拉回觀望,MA20: 144.05,KDJ: 74.8/69.2，量比: 1.9
2026-09-04,3034,聯詠,1,524.0,-0.57%,拉回觀望,MA20: 535.35,KDJ: 32.1/48.9，量比: 0.55
2026-09-04,8046,南電,1,1055.0,-2.31%,拉回觀望,MA20: 1195.75,KDJ: 29.2/40.8，量比: 1.08
2026-09-04,3189,景碩,1,819.0,+5.68%,拉回觀望,MA20: 849.35,KDJ: 31.4/39.8，量比: 0.75
2026-09-04,2883,開發金,1,36.7,+2.23%,拉回觀望,MA20: 32.39,KDJ: 92.7/87.3，量比: 0.72
2026-09-04,5871,中租-KY,1,111.5,+0.00%,拉回觀望,MA20: 113.0,KDJ: 26.7/45.3，量比: 0.49
2026-09-04,2105,正新,1,30.95,+0.81%,拉回觀望,MA20: 31.16,KDJ: 42.3/43.4，量比: 0.46
2026-09-04,9904,寶成,1,24.6,+0.20%,拉回觀望,MA20: 24.67,KDJ: 32.2/39.9，量比: 0.44
2026-09-04,9921,巨大,1,98.9,-1.59%,拉回觀望,MA20: 103.33,KDJ: 20.0/32.9，量比: 0.98
2026-09-04,6669,緯穎,1,2565.0,+3.64%,拉回觀望,MA20: 5926.5,KDJ: 26.1/48.5，量比: 0.96
2026-09-04,1304,台聚,1,12.35,-0.80%,拉回觀望,MA20: 12.15,KDJ: 55.2/58.6，量比: 0.52
2026-09-04,1308,亞聚,1,14.15,-1.74%,拉回觀望,MA20: 13.86,KDJ: 50.7/58.2，量比: 0.42
2026-09-04,1717,長興,1,76.1,-0.91%,拉回觀望,MA20: 74.67,KDJ: 55.6/61.5，量比: 0.66
2026-09-04,1722,台肥,1,44.8,+0.34%,拉回觀望,MA20: 45.35,KDJ: 25.7/21.3，量比: 0.56
2026-09-04,6508,惠光,1,25.75,-1.15%,拉回觀望,MA20: 26.07,KDJ: 25.0/33.6，量比: 1.34
2026-09-04,1504,東元,1,72.2,+1.69%,拉回觀望,MA20: 71.22,KDJ: 44.3/48.3，量比: 0.56
2026-09-04,2014,中鴻,1,17.0,+0.59%,拉回觀望,MA20: 17.2,KDJ: 17.2/23.0，量比: 1.05
2026-09-04,2204,中華,1,54.1,-0.55%,拉回觀望,MA20: 53.43,KDJ: 58.3/60.4，量比: 0.68
2026-09-04,2313,華通,1,249.5,+5.72%,拉回觀望,MA20: 224.78,KDJ: 74.4/73.6，量比: 0.98
2026-09-04,2368,金像電,1,1045.0,-5.00%,拉回觀望,MA20: 1042.7,KDJ: 60.3/66.7，量比: 0.79
2026-09-04,3044,健鼎,1,488.5,+0.21%,拉回觀望,MA20: 477.52,KDJ: 70.9/67.8，量比: 0.73
2026-09-04,6271,同欣電,1,237.0,+9.98%,拉回觀望,MA20: 205.15,KDJ: 82.0/76.9，量比: 2.41
2026-09-04,2492,華新科,1,298.5,+9.94%,拉回觀望,MA20: 287.62,KDJ: 60.1/58.1，量比: 0.73
2026-09-04,3661,世芯-KY,1,4220.0,+4.20%,拉回觀望,MA20: 3969.0,KDJ: 72.6/66.6，量比: 0.87
2026-09-04,3532,台勝科,1,399.0,+4.72%,拉回觀望,MA20: 361.7,KDJ: 63.9/66.8，量比: 1.0
2026-09-04,6206,飛捷,1,138.5,+2.97%,拉回觀望,MA20: 142.53,KDJ: 30.4/28.6，量比: 1.4
2026-09-04,4961,天鈺,1,165.5,-0.30%,拉回觀望,MA20: 166.3,KDJ: 66.9/64.3，量比: 0.46
2026-09-04,8016,矽創,1,293.5,+1.21%,拉回觀望,MA20: 298.48,KDJ: 34.5/39.3，量比: 0.43
2026-09-04,3702,大聯大,1,104.0,+1.96%,拉回觀望,MA20: 109.73,KDJ: 32.4/24.4，量比: 0.47
2026-09-04,3005,神基,1,115.0,+1.77%,拉回觀望,MA20: 116.2,KDJ: 36.1/39.5，量比: 0.98
2026-09-04,2634,漢翔,1,65.0,+0.93%,拉回觀望,MA20: 67.34,KDJ: 10.7/18.7，量比: 0.4
2026-09-04,9939,宏全,1,131.5,+0.00%,拉回觀望,MA20: 133.07,KDJ: 33.2/38.9，量比: 0.62
2026-09-04,8464,億豐,1,373.5,+1.63%,拉回觀望,MA20: 373.35,KDJ: 72.6/64.2，量比: 0.57
2026-09-04,6285,啟碁,1,243.5,+4.28%,拉回觀望,MA20: 242.68,KDJ: 55.7/55.9，量比: 0.75
2026-09-04,3596,智易,1,159.5,+1.59%,拉回觀望,MA20: 162.38,KDJ: 29.2/25.3，量比: 0.55
2026-09-04,2449,京元電子,1,262.0,+0.38%,拉回觀望,MA20: 250.5,KDJ: 66.1/67.3，量比: 0.39
2026-09-04,8112,至上,1,90.5,+1.34%,拉回觀望,MA20: 93.18,KDJ: 21.2/25.3，量比: 0.78
2026-09-04,9907,統一實,1,15.25,-0.65%,拉回觀望,MA20: 15.16,KDJ: 50.1/67.9，量比: 0.63
2026-09-04,4749,新應材,1,776.0,+2.24%,拉回觀望,MA20: 777.45,KDJ: 57.4/58.3，量比: 1.87
2026-09-04,6274,台燿,1,1365.0,+1.49%,拉回觀望,MA20: 1503.25,KDJ: 20.0/23.2，量比: 1.12
2026-09-04,2303,聯電,0,130.0,+4.00%,拉回觀望,MA20: 123.28,KDJ: 62.6/64.8，量比: 0.69
2026-09-04,3711,日月光投控,0,588.0,-0.17%,拉回觀望,MA20: 603.1,KDJ: 41.5/45.3，量比: 0.74
2026-09-04,1301,台塑,0,66.0,+0.46%,拉回觀望,MA20: 60.51,KDJ: 71.4/73.1，量比: 0.49
2026-09-04,1303,南亞,0,225.5,+2.04%,拉回觀望,MA20: 205.55,KDJ: 72.2/73.3，量比: 0.46
2026-09-04,3008,大立光,0,7400.0,+3.50%,拉回觀望,MA20: 5930.5,KDJ: 82.1/86.9，量比: 0.51
2026-09-04,2337,旺宏,0,121.5,+3.85%,拉回觀望,MA20: 126.33,KDJ: 32.1/38.3，量比: 0.91
2026-09-04,2912,統一超,0,216.0,-0.23%,拉回觀望,MA20: 218.55,KDJ: 19.7/32.1，量比: 0.54
2026-09-04,5904,寶雅,0,72.1,+2.12%,拉回觀望,MA20: 76.58,KDJ: 17.2/12.9，量比: 1.0
2026-09-04,2345,智邦,0,2100.0,+0.48%,拉回觀望,MA20: 2140.25,KDJ: 53.4/48.4，量比: 0.59
2026-09-04,3481,群創,0,48.5,+0.83%,拉回觀望,MA20: 48.5,KDJ: 54.2/53.8，量比: 0.52
2026-09-04,1326,台化,0,69.8,+0.14%,拉回觀望,MA20: 62.3,KDJ: 72.3/74.6，量比: 0.57
2026-09-04,6505,台塑化,0,78.1,+2.09%,拉回觀望,MA20: 72.6,KDJ: 72.1/64.2，量比: 0.59
2026-09-04,2201,裕隆,0,31.1,-0.96%,拉回觀望,MA20: 29.23,KDJ: 79.5/73.8，量比: 0.64
2026-09-04,2367,燿華,0,43.1,+1.89%,拉回觀望,MA20: 43.76,KDJ: 45.5/52.8，量比: 0.74
2026-09-04,2327,國巨,0,562.0,+9.98%,拉回觀望,MA20: 573.1,KDJ: 34.4/34.1，量比: 1.03
2026-09-04,6415,矽力-KY,0,428.5,+4.26%,拉回觀望,MA20: 447.68,KDJ: 25.9/29.5，量比: 0.42
2026-09-04,6239,力成,0,276.5,+0.55%,拉回觀望,MA20: 276.95,KDJ: 48.9/52.5，量比: 0.64
2026-09-04,8028,昇陽半導體,0,239.0,+1.06%,拉回觀望,MA20: 250.8,KDJ: 41.3/44.7，量比: 0.47
2026-09-04,6414,樺漢,0,395.0,+3.67%,拉回觀望,MA20: 409.05,KDJ: 38.7/29.8，量比: 1.26
2026-09-04,3035,智原,0,179.5,-0.28%,拉回觀望,MA20: 176.35,KDJ: 67.1/65.7，量比: 0.45
2026-09-04,2458,義隆,0,133.0,+0.00%,拉回觀望,MA20: 140.72,KDJ: 15.6/19.8，量比: 1.08
2026-09-04,2404,漢唐,0,1070.0,+3.38%,拉回觀望,MA20: 1092.25,KDJ: 36.2/30.1，量比: 1.11
2026-09-04,3533,嘉澤,0,1685.0,+0.90%,拉回觀望,MA20: 1716.75,KDJ: 64.0/60.1，量比: 0.27
2026-09-04,3036,文曄,0,192.5,+1.05%,拉回觀望,MA20: 202.85,KDJ: 35.2/24.3，量比: 0.63
2026-09-04,2606,裕民,0,78.2,+0.00%,拉回觀望,MA20: 71.67,KDJ: 71.7/66.9，量比: 0.91
2026-09-04,8932,智通,0,91.4,+1.90%,拉回觀望,MA20: 103.34,KDJ: 13.6/23.1，量比: 0.63
2026-09-04,5388,中磊,0,75.6,+0.67%,拉回觀望,MA20: 79.39,KDJ: 18.7/17.4，量比: 0.98
2026-09-04,8150,南茂,0,90.1,+1.12%,拉回觀望,MA20: 90.51,KDJ: 55.1/55.3，量比: 0.66
2026-09-04,6443,元晶,0,24.95,+1.63%,拉回觀望,MA20: 26.32,KDJ: 19.2/26.2，量比: 0.74
2026-09-04,3576,聯合再生,0,17.15,+0.59%,拉回觀望,MA20: 17.33,KDJ: 42.0/48.1，量比: 0.21
2026-09-04,2406,國碩,0,27.25,+0.74%,拉回觀望,MA20: 29.07,KDJ: 27.5/35.3，量比: 0.94
2026-09-04,2360,致茂,0,2030.0,+0.74%,拉回觀望,MA20: 2097.75,KDJ: 45.1/37.2，量比: 0.91
2026-09-04,6412,群電,0,77.4,+0.13%,拉回觀望,MA20: 78.43,KDJ: 41.2/52.2，量比: 1.07
2026-09-04,1477,聚陽,0,196.5,+1.29%,拉回觀望,MA20: 203.4,KDJ: 28.8/27.1，量比: 0.75
2026-09-04,6282,康舒,0,44.0,+1.85%,拉回觀望,MA20: 45.81,KDJ: 33.7/37.4，量比: 0.94
